agent,task_per_agent,task_num,phi,recalc,task_success,ratio,time_ms
0,60,10,600.00000,0.00000,False,472.00000,0.78667,7872.20000
1,90,10,900.00000,0.00000,False,663.80000,0.73756,25396.80000
2,120,10,1200.00000,0.00000,False,842.70000,0.70225,63212.40000
3,150,10,1500.00000,0.00000,False,996.80000,0.66453,142481.80000
4,180,10,1800.00000,0.00000,False,1128.80000,0.62711,285204.60000
0,60,10,600.00000,0.10000,False,524.50000,0.87417,8385.90000
1,90,10,900.00000,0.10000,False,731.20000,0.81244,26111.10000
2,120,10,1200.00000,0.10000,False,927.00000,0.77250,66157.10000
3,150,10,1500.00000,0.10000,False,1089.20000,0.72613,140424.30000
4,180,10,1800.00000,0.10000,False,1239.50000,0.68861,278446.00000
0,60,10,600.00000,0.25000,False,587.50000,0.97917,9238.80000
1,90,10,900.00000,0.25000,False,843.90000,0.93767,28999.00000
2,120,10,1200.00000,0.25000,False,1072.00000,0.89333,74328.00000
3,150,10,1500.00000,0.25000,False,1255.30000,0.83687,157263.20000
4,180,10,1800.00000,0.25000,False,1425.20000,0.79178,304237.30000
