agent,task_per_agent,task_num,phi,recalc,task_success,ratio,time_ms
0,10,10,100.00000,0.00000,False,86.70000,0.86700,106.70000
1,20,10,200.00000,0.00000,False,161.80000,0.80900,450.20000
2,30,10,300.00000,0.00000,False,232.80000,0.77600,1144.30000
3,40,10,400.00000,0.00000,False,295.10000,0.73775,2589.70000
4,50,10,500.00000,0.00000,False,360.80000,0.72160,4796.00000
0,10,10,100.00000,0.10000,False,93.80000,0.93800,115.20000
1,20,10,200.00000,0.10000,False,178.40000,0.89200,515.60000
2,30,10,300.00000,0.10000,False,257.40000,0.85800,1240.60000
3,40,10,400.00000,0.10000,False,327.90000,0.81975,2804.60000
4,50,10,500.00000,0.10000,False,395.30000,0.79060,5013.00000
0,10,10,100.00000,0.25000,False,98.90000,0.98900,114.70000
1,20,10,200.00000,0.25000,False,196.20000,0.98100,539.30000
2,30,10,300.00000,0.25000,False,288.90000,0.96300,1343.00000
3,40,10,400.00000,0.25000,False,376.10000,0.94025,3030.70000
4,50,10,500.00000,0.25000,False,455.80000,0.91160,5419.50000
