size,agent,task_per_agent,phi,scheduler,bound,sort,mlabel,task_num,task_success,time_ms
33x46,120,10,0,edf,True,False,True,1200,1188,21346
33x46,120,10,0,edf,True,True,True,1200,1188,21257
33x46,120,10,0,edf,False,False,True,1200,1188,21704
33x46,120,10,0.1,edf,True,False,True,1200,1191,20981
33x46,120,10,0.1,edf,True,True,True,1200,1191,20820
33x46,120,10,0.1,edf,False,False,True,1200,1191,21044
33x46,120,10,0.25,edf,True,False,True,1200,1200,17052
33x46,120,10,0.25,edf,True,True,True,1200,1200,17137
33x46,120,10,0.25,edf,False,False,True,1200,1200,17369
33x46,120,10,-0.1,edf,True,False,True,1200,1167,23306
33x46,120,10,-0.1,edf,True,True,True,1200,1167,23263
33x46,120,10,-0.1,edf,False,False,True,1200,1167,23193
33x46,120,10,-0.25,edf,True,False,True,1200,1142,21573
33x46,120,10,-0.25,edf,True,True,True,1200,1142,21574
33x46,120,10,-0.25,edf,False,False,True,1200,1142,21912
33x46,120,10,0,flex,True,False,True,1200,608,-1
33x46,120,10,0,flex,True,True,True,1200,1153,1962072
33x46,120,10,0,flex,False,False,True,1200,50,-1
33x46,120,10,0.1,flex,True,False,True,1200,641,-1
33x46,120,10,0.1,flex,True,True,True,1200,1154,2076842
33x46,120,10,0.1,flex,False,False,True,1200,50,-1
33x46,120,10,0.25,flex,True,False,True,1200,840,-1
33x46,120,10,0.25,flex,True,True,True,1200,1198,2016754
33x46,120,10,0.25,flex,False,False,True,1200,52,-1
33x46,120,10,-0.1,flex,True,False,True,1200,628,-1
33x46,120,10,-0.1,flex,True,True,True,1200,1177,2358602
33x46,120,10,-0.1,flex,False,False,True,1200,50,-1
33x46,120,10,-0.25,flex,True,False,True,1200,780,-1
33x46,120,10,-0.25,flex,True,True,True,1200,1138,1457266
33x46,120,10,-0.25,flex,False,False,True,1200,52,-1
33x46,120,2,0,edf,True,False,True,240,228,2959
33x46,120,2,0,edf,True,True,True,240,228,2961
33x46,120,2,0,edf,False,False,True,240,228,2939
33x46,120,2,0.1,edf,True,False,True,240,236,2654
33x46,120,2,0.1,edf,True,True,True,240,236,2703
33x46,120,2,0.1,edf,False,False,True,240,236,2672
33x46,120,2,0.25,edf,True,False,True,240,240,3114
33x46,120,2,0.25,edf,True,True,True,240,240,3101
33x46,120,2,0.25,edf,False,False,True,240,240,3132
33x46,120,2,-0.1,edf,True,False,True,240,214,2425
33x46,120,2,-0.1,edf,True,True,True,240,214,2432
33x46,120,2,-0.1,edf,False,False,True,240,214,2418
33x46,120,2,-0.25,edf,True,False,True,240,186,2309
33x46,120,2,-0.25,edf,True,True,True,240,186,2232
33x46,120,2,-0.25,edf,False,False,True,240,186,2254
33x46,120,2,0,flex,True,False,True,240,234,136182
33x46,120,2,0,flex,True,True,True,240,234,38670
33x46,120,2,0,flex,False,False,True,240,234,2550807
33x46,120,2,0.1,flex,True,False,True,240,240,148181
33x46,120,2,0.1,flex,True,True,True,240,240,36802
33x46,120,2,0.1,flex,False,False,True,240,233,-1
33x46,120,2,0.25,flex,True,False,True,240,240,147272
33x46,120,2,0.25,flex,True,True,True,240,240,37140
33x46,120,2,0.25,flex,False,False,True,240,196,-1
33x46,120,2,-0.1,flex,True,False,True,240,224,91145
33x46,120,2,-0.1,flex,True,True,True,240,224,30107
33x46,120,2,-0.1,flex,False,False,True,240,224,2145453
33x46,120,2,-0.25,flex,True,False,True,240,200,67825
33x46,120,2,-0.25,flex,True,True,True,240,200,19845
33x46,120,2,-0.25,flex,False,False,True,240,200,1385324
33x46,120,5,0,edf,True,False,True,600,590,10049
33x46,120,5,0,edf,True,True,True,600,590,10334
33x46,120,5,0,edf,False,False,True,600,590,10149
33x46,120,5,0.1,edf,True,False,True,600,597,9799
33x46,120,5,0.1,edf,True,True,True,600,597,9671
33x46,120,5,0.1,edf,False,False,True,600,597,9793
33x46,120,5,0.25,edf,True,False,True,600,600,8974
33x46,120,5,0.25,edf,True,True,True,600,600,8999
33x46,120,5,0.25,edf,False,False,True,600,600,8994
33x46,120,5,-0.1,edf,True,False,True,600,575,9800
33x46,120,5,-0.1,edf,True,True,True,600,575,9507
33x46,120,5,-0.1,edf,False,False,True,600,575,9707
33x46,120,5,-0.25,edf,True,False,True,600,543,9881
33x46,120,5,-0.25,edf,True,True,True,600,543,10180
33x46,120,5,-0.25,edf,False,False,True,600,543,9878
33x46,120,5,0,flex,True,False,True,600,593,1473776
33x46,120,5,0,flex,True,True,True,600,593,397049
33x46,120,5,0,flex,False,False,True,600,78,-1
33x46,120,5,0.1,flex,True,False,True,600,600,1309265
33x46,120,5,0.1,flex,True,True,True,600,600,349774
33x46,120,5,0.1,flex,False,False,True,600,80,-1
33x46,120,5,0.25,flex,True,False,True,600,600,1003804
33x46,120,5,0.25,flex,True,True,True,600,600,423887
33x46,120,5,0.25,flex,False,False,True,600,74,-1
33x46,120,5,-0.1,flex,True,False,True,600,584,1460620
33x46,120,5,-0.1,flex,True,True,True,600,584,376652
33x46,120,5,-0.1,flex,False,False,True,600,77,-1
33x46,120,5,-0.25,flex,True,False,True,600,554,962018
33x46,120,5,-0.25,flex,True,True,True,600,554,295915
33x46,120,5,-0.25,flex,False,False,True,600,96,-1
33x46,150,10,0,edf,True,False,True,1500,1475,37536
33x46,150,10,0,edf,True,True,True,1500,1475,38159
33x46,150,10,0,edf,False,False,True,1500,1475,37634
33x46,150,10,0.1,edf,True,False,True,1500,1487,41891
33x46,150,10,0.1,edf,True,True,True,1500,1487,42206
33x46,150,10,0.1,edf,False,False,True,1500,1487,41827
33x46,150,10,0.25,edf,True,False,True,1500,1494,37603
33x46,150,10,0.25,edf,True,True,True,1500,1494,37960
33x46,150,10,0.25,edf,False,False,True,1500,1494,36893
33x46,150,10,-0.1,edf,True,False,True,1500,1447,43740
33x46,150,10,-0.1,edf,True,True,True,1500,1447,42603
33x46,150,10,-0.1,edf,False,False,True,1500,1447,43058
33x46,150,10,-0.25,edf,True,False,True,1500,1426,40306
33x46,150,10,-0.25,edf,True,True,True,1500,1426,40068
33x46,150,10,-0.25,edf,False,False,True,1500,1426,39867
33x46,150,10,0,flex,True,False,True,1500,459,-1
33x46,150,10,0,flex,True,True,True,1500,817,-1
33x46,150,10,0,flex,False,False,True,1500,35,-1
33x46,150,10,0.1,flex,True,False,True,1500,546,-1
33x46,150,10,0.1,flex,True,True,True,1500,505,-1
33x46,150,10,0.1,flex,False,False,True,1500,39,-1
33x46,150,10,0.25,flex,True,False,True,1500,589,-1
33x46,150,10,0.25,flex,True,True,True,1500,549,-1
33x46,150,10,0.25,flex,False,False,True,1500,40,-1
