size,agent,task_per_agent,phi,scheduler,bound,sort,mlabel,task_num,task_success,time_ms
33x46,120,10,0,edf,True,False,True,1200,1186,18471
33x46,120,10,0,edf,True,True,True,1200,1186,18652
33x46,120,10,0,edf,False,False,True,1200,1186,122436
33x46,120,10,0.1,edf,True,False,True,1200,1191,20915
33x46,120,10,0.1,edf,True,True,True,1200,1191,20995
33x46,120,10,0.1,edf,False,False,True,1200,1191,135788
33x46,120,10,0.25,edf,True,False,True,1200,1197,20162
33x46,120,10,0.25,edf,True,True,True,1200,1197,20240
33x46,120,10,0.25,edf,False,False,True,1200,1197,132103
33x46,120,10,0,flex,True,False,True,1200,357,-1
33x46,120,10,0,flex,True,True,True,1200,387,-1
33x46,120,10,0,flex,False,False,True,1200,9,-1
33x46,120,10,0.1,flex,True,False,True,1200,368,-1
33x46,120,10,0.1,flex,True,True,True,1200,821,-1
33x46,120,10,0.1,flex,False,False,True,1200,9,-1
33x46,120,10,0.25,flex,True,False,True,1200,333,-1
33x46,120,10,0.25,flex,True,True,True,1200,658,-1
33x46,120,10,0.25,flex,False,False,True,1200,9,-1
33x46,120,2,0,edf,True,False,True,240,222,2715
33x46,120,2,0,edf,True,True,True,240,222,2683
33x46,120,2,0,edf,False,False,True,240,222,15616
33x46,120,2,0.1,edf,True,False,True,240,235,2890
33x46,120,2,0.1,edf,True,True,True,240,235,2903
33x46,120,2,0.1,edf,False,False,True,240,235,15920
33x46,120,2,0.25,edf,True,False,True,240,239,3411
33x46,120,2,0.25,edf,True,True,True,240,239,3405
33x46,120,2,0.25,edf,False,False,True,240,239,16878
33x46,120,2,0,flex,True,False,True,240,226,57046
33x46,120,2,0,flex,True,True,True,240,222,23085
33x46,120,2,0,flex,False,False,True,240,33,-1
33x46,120,2,0.1,flex,True,False,True,240,236,65617
33x46,120,2,0.1,flex,True,True,True,240,238,24248
33x46,120,2,0.1,flex,False,False,True,240,32,-1
33x46,120,2,0.25,flex,True,False,True,240,240,69159
33x46,120,2,0.25,flex,True,True,True,240,240,27757
33x46,120,2,0.25,flex,False,False,True,240,35,-1
33x46,120,5,0,edf,True,False,True,600,583,8920
33x46,120,5,0,edf,True,True,True,600,583,8768
33x46,120,5,0,edf,False,False,True,600,583,60705
33x46,120,5,0.1,edf,True,False,True,600,595,9267
