agent,task_per_agent,task_num,phi,recalc,task_success,ratio,time_ms
0,60,10,600.00000,0.00000,True,526.70000,0.87783,15503.30000
1,90,10,900.00000,0.00000,True,735.50000,0.81722,42680.70000
2,120,10,1200.00000,0.00000,True,928.40000,0.77367,104249.60000
3,150,10,1500.00000,0.00000,True,1076.90000,0.71793,221264.80000
4,180,10,1800.00000,0.00000,True,1230.40000,0.68356,398137.20000
0,60,10,600.00000,0.10000,True,582.50000,0.97083,20818.10000
1,90,10,900.00000,0.10000,True,827.80000,0.91978,53645.10000
2,120,10,1200.00000,0.10000,True,1029.10000,0.85758,117008.60000
3,150,10,1500.00000,0.10000,True,1221.20000,0.81413,238490.00000
4,180,10,1800.00000,0.10000,True,1364.00000,0.75778,424659.20000
0,60,10,600.00000,0.25000,True,598.60000,0.99767,20001.80000
1,90,10,900.00000,0.25000,True,894.90000,0.99433,69887.40000
2,120,10,1200.00000,0.25000,True,1181.00000,0.98417,180081.30000
3,150,10,1500.00000,0.25000,True,1443.20000,0.96213,374012.00000
4,180,10,1800.00000,0.25000,True,1610.70000,0.89483,634143.10000
