size,agent,task_per_agent,phi,scheduler,window,bound,sort,mlabel,skip,task_bound,reserve_all,task_num,task_success,success_rate,reserve,time_ms
33x46,120,10,0,edf,0,True,True,True,False,False,False,1200,1183.500000,0.986250,672.300000,14936.200000
33x46,120,10,0.1,edf,0,True,True,True,False,False,False,1200,1195.100000,0.995917,650.500000,13585.300000
33x46,120,10,0.25,edf,0,True,True,True,False,False,False,1200,1192.000000,0.993333,583.400000,13936.600000
33x46,120,10,-0.1,edf,0,True,True,True,False,False,False,1200,1172.400000,0.977000,691.700000,15797.600000
33x46,120,10,-0.25,edf,0,True,True,True,False,False,False,1200,1136.200000,0.946833,755.300000,15476.000000
33x46,120,10,0,flex,0,True,True,True,False,False,False,1200,1184.000000,0.986667,685.300000,2400487.800000
33x46,120,10,0,flex,0,True,True,True,False,True,True,1200,1194.700000,0.995583,1194.700000,1766901.200000
33x46,120,10,0,flex,0,True,True,True,True,True,True,1200,1194.600000,0.995500,1194.600000,484751.400000
33x46,120,10,0,flex,0,True,True,True,True,False,False,1200,1173.000000,0.977500,681.900000,541888.500000
33x46,120,10,0,flex,0,True,True,True,False,True,False,1200,1184.000000,0.986667,685.300000,1851153.400000
33x46,120,10,0,flex,0,True,True,True,True,True,False,1200,1175.100000,0.979250,676.900000,359086.500000
33x46,120,10,0.1,flex,0,True,True,True,False,False,False,1200,1191.200000,0.992667,649.200000,2545565.700000
33x46,120,10,0.1,flex,0,True,True,True,False,True,True,1200,1198.600000,0.998833,1198.600000,1754520.400000
33x46,120,10,0.1,flex,0,True,True,True,True,True,True,1200,1198.700000,0.998917,1198.700000,288850.200000
33x46,120,10,0.1,flex,0,True,True,True,True,False,False,1200,1196.600000,0.997167,640.100000,524079.200000
33x46,120,10,0.1,flex,0,True,True,True,False,True,False,1200,1191.200000,0.992667,649.200000,1784753.300000
33x46,120,10,0.1,flex,0,True,True,True,True,True,False,1200,1195.300000,0.996083,645.300000,346221.900000
33x46,120,10,0.25,flex,0,True,True,True,False,False,False,1200,1190.500000,0.992083,602.800000,2458411.400000
33x46,120,10,0.25,flex,0,True,True,True,False,True,True,1200,1199.600000,0.999667,1199.600000,1712968.600000
33x46,120,10,0.25,flex,0,True,True,True,True,True,True,1200,1199.800000,0.999833,1199.800000,309788.200000
33x46,120,10,0.25,flex,0,True,True,True,True,False,False,1200,1196.300000,0.996917,598.900000,413046.000000
33x46,120,10,0.25,flex,0,True,True,True,False,True,False,1200,1190.500000,0.992083,602.800000,1677880.000000
33x46,120,10,0.25,flex,0,True,True,True,True,True,False,1200,1194.400000,0.995333,601.700000,336212.200000
33x46,120,10,-0.1,flex,0,True,True,True,False,False,False,1200,1170.700000,0.975583,710.600000,2280549.400000
33x46,120,10,-0.1,flex,0,True,True,True,False,True,True,1200,1181.100000,0.984250,1181.100000,1799879.200000
33x46,120,10,-0.1,flex,0,True,True,True,True,True,True,1200,1181.100000,0.984250,1181.100000,381930.000000
33x46,120,10,-0.1,flex,0,True,True,True,True,False,False,1200,1172.100000,0.976750,704.200000,522604.100000
33x46,120,10,-0.1,flex,0,True,True,True,False,True,False,1200,1170.700000,0.975583,710.600000,1761575.400000
33x46,120,10,-0.1,flex,0,True,True,True,True,True,False,1200,1170.700000,0.975583,703.300000,399399.300000
33x46,120,10,-0.25,flex,0,True,True,True,False,False,False,1200,1132.300000,0.943583,763.200000,1540596.000000
33x46,120,10,-0.25,flex,0,True,True,True,False,True,True,1200,1135.000000,0.945833,1135.000000,1005092.700000
33x46,120,10,-0.25,flex,0,True,True,True,True,True,True,1200,1140.300000,0.950250,1140.300000,530290.000000
33x46,120,10,-0.25,flex,0,True,True,True,True,False,False,1200,1129.600000,0.941333,767.800000,735746.200000
33x46,120,10,-0.25,flex,0,True,True,True,False,True,False,1200,1132.300000,0.943583,763.200000,1176973.500000
33x46,120,10,-0.25,flex,0,True,True,True,True,True,False,1200,1132.400000,0.943667,765.900000,510078.300000
33x46,120,2,0,edf,0,True,True,True,False,False,False,240,230.100000,0.958750,118.600000,1783.900000
33x46,120,2,0.1,edf,0,True,True,True,False,False,False,240,236.800000,0.986667,118.800000,2022.400000
33x46,120,2,0.25,edf,0,True,True,True,False,False,False,240,239.600000,0.998333,102.800000,2026.400000
33x46,120,2,-0.1,edf,0,True,True,True,False,False,False,240,216.500000,0.902083,116.700000,1752.500000
33x46,120,2,-0.25,edf,0,True,True,True,False,False,False,240,188.500000,0.785417,96.100000,1473.500000
33x46,120,2,0,flex,0,True,True,True,False,False,False,240,237.000000,0.987500,129.700000,37838.600000
33x46,120,2,0,flex,0,True,True,True,False,True,True,240,236.200000,0.984167,236.200000,45972.100000
33x46,120,2,0,flex,0,True,True,True,True,True,True,240,236.100000,0.983750,236.100000,14065.200000
33x46,120,2,0,flex,0,True,True,True,True,False,False,240,237.400000,0.989167,128.800000,11301.600000
33x46,120,2,0,flex,0,True,True,True,False,True,False,240,237.000000,0.987500,129.700000,36556.400000
33x46,120,2,0,flex,0,True,True,True,True,True,False,240,237.400000,0.989167,128.000000,11139.500000
33x46,120,2,0.1,flex,0,True,True,True,False,False,False,240,239.600000,0.998333,121.400000,34932.100000
33x46,120,2,0.1,flex,0,True,True,True,False,True,True,240,239.600000,0.998333,239.600000,40884.000000
33x46,120,2,0.1,flex,0,True,True,True,True,True,True,240,239.500000,0.997917,239.500000,11728.100000
33x46,120,2,0.1,flex,0,True,True,True,True,False,False,240,239.500000,0.997917,122.800000,10272.400000
33x46,120,2,0.1,flex,0,True,True,True,False,True,False,240,239.600000,0.998333,121.400000,33195.600000
33x46,120,2,0.1,flex,0,True,True,True,True,True,False,240,239.500000,0.997917,122.800000,9858.100000
33x46,120,2,0.25,flex,0,True,True,True,False,False,False,240,240.000000,1.000000,103.100000,34302.700000
33x46,120,2,0.25,flex,0,True,True,True,False,True,True,240,240.000000,1.000000,240.000000,39527.600000
33x46,120,2,0.25,flex,0,True,True,True,True,True,True,240,240.000000,1.000000,240.000000,10735.400000
33x46,120,2,0.25,flex,0,True,True,True,True,False,False,240,239.900000,0.999583,106.500000,9059.100000
33x46,120,2,0.25,flex,0,True,True,True,False,True,False,240,240.000000,1.000000,103.100000,32750.200000
33x46,120,2,0.25,flex,0,True,True,True,True,True,False,240,239.900000,0.999583,105.700000,8982.100000
33x46,120,2,-0.1,flex,0,True,True,True,False,False,False,240,223.000000,0.929167,120.700000,27504.100000
33x46,120,2,-0.1,flex,0,True,True,True,False,True,True,240,222.700000,0.927917,222.700000,35723.600000
33x46,120,2,-0.1,flex,0,True,True,True,True,True,True,240,222.600000,0.927500,222.600000,10069.800000
33x46,120,2,-0.1,flex,0,True,True,True,True,False,False,240,223.000000,0.929167,118.200000,8059.100000
33x46,120,2,-0.1,flex,0,True,True,True,False,True,False,240,223.000000,0.929167,120.700000,27110.800000
33x46,120,2,-0.1,flex,0,True,True,True,True,True,False,240,223.000000,0.929167,117.600000,8174.800000
33x46,120,2,-0.25,flex,0,True,True,True,False,False,False,240,196.100000,0.817083,103.900000,18089.300000
33x46,120,2,-0.25,flex,0,True,True,True,False,True,True,240,194.100000,0.808750,194.100000,22765.500000
33x46,120,2,-0.25,flex,0,True,True,True,True,True,True,240,194.100000,0.808750,194.100000,7769.200000
33x46,120,2,-0.25,flex,0,True,True,True,True,False,False,240,195.900000,0.816250,99.300000,5881.900000
33x46,120,2,-0.25,flex,0,True,True,True,False,True,False,240,196.100000,0.817083,103.900000,18010.100000
33x46,120,2,-0.25,flex,0,True,True,True,True,True,False,240,195.900000,0.816250,99.400000,5799.300000
33x46,120,5,0,edf,0,True,True,True,False,False,False,600,589.000000,0.981667,328.900000,6191.200000
33x46,120,5,0.1,edf,0,True,True,True,False,False,False,600,595.700000,0.992833,316.600000,6081.200000
33x46,120,5,0.25,edf,0,True,True,True,False,False,False,600,599.300000,0.998833,281.500000,5545.700000
33x46,120,5,-0.1,edf,0,True,True,True,False,False,False,600,573.500000,0.955833,340.300000,6134.900000
33x46,120,5,-0.25,edf,0,True,True,True,False,False,False,600,547.200000,0.912000,342.700000,5907.300000
33x46,120,5,0,flex,0,True,True,True,False,False,False,600,592.800000,0.988000,351.200000,464739.200000
33x46,120,5,0,flex,0,True,True,True,False,True,True,600,595.900000,0.993167,595.900000,374859.600000
33x46,120,5,0,flex,0,True,True,True,True,True,True,600,595.900000,0.993167,595.900000,80458.700000
33x46,120,5,0,flex,0,True,True,True,True,False,False,600,594.200000,0.990333,345.500000,84678.200000
33x46,120,5,0,flex,0,True,True,True,False,True,False,600,592.800000,0.988000,351.200000,389815.000000
33x46,120,5,0,flex,0,True,True,True,True,True,False,600,594.000000,0.990000,347.600000,74821.400000
33x46,120,5,0.1,flex,0,True,True,True,False,False,False,600,597.600000,0.996000,326.000000,474425.600000
33x46,120,5,0.1,flex,0,True,True,True,False,True,True,600,599.400000,0.999000,599.400000,342276.900000
33x46,120,5,0.1,flex,0,True,True,True,True,True,True,600,599.300000,0.998833,599.300000,67313.300000
33x46,120,5,0.1,flex,0,True,True,True,True,False,False,600,599.500000,0.999167,327.500000,88446.500000
33x46,120,5,0.1,flex,0,True,True,True,False,True,False,600,597.600000,0.996000,326.000000,381699.300000
33x46,120,5,0.1,flex,0,True,True,True,True,True,False,600,599.500000,0.999167,328.400000,64218.200000
33x46,120,5,0.25,flex,0,True,True,True,False,False,False,600,597.300000,0.995500,292.200000,420389.300000
33x46,120,5,0.25,flex,0,True,True,True,False,True,True,600,600.000000,1.000000,600.000000,351183.800000
33x46,120,5,0.25,flex,0,True,True,True,True,True,True,600,599.900000,0.999833,599.900000,58277.000000
33x46,120,5,0.25,flex,0,True,True,True,True,False,False,600,599.200000,0.998667,292.700000,63771.000000
33x46,120,5,0.25,flex,0,True,True,True,False,True,False,600,597.300000,0.995500,292.200000,332745.100000
33x46,120,5,0.25,flex,0,True,True,True,True,True,False,600,598.600000,0.997667,291.500000,60091.800000
33x46,120,5,-0.1,flex,0,True,True,True,False,False,False,600,579.600000,0.966000,358.600000,393347.300000
33x46,120,5,-0.1,flex,0,True,True,True,False,True,True,600,580.800000,0.968000,580.800000,352739.300000
33x46,120,5,-0.1,flex,0,True,True,True,True,True,True,600,581.100000,0.968500,581.100000,56374.000000
33x46,120,5,-0.1,flex,0,True,True,True,True,False,False,600,580.600000,0.967667,352.300000,100607.100000
33x46,120,5,-0.1,flex,0,True,True,True,False,True,False,600,579.600000,0.966000,358.600000,331426.800000
33x46,120,5,-0.1,flex,0,True,True,True,True,True,False,600,581.200000,0.968667,346.900000,82788.600000
33x46,120,5,-0.25,flex,0,True,True,True,False,False,False,600,549.600000,0.916000,356.500000,333924.100000
33x46,120,5,-0.25,flex,0,True,True,True,False,True,True,600,548.600000,0.914333,548.600000,304280.000000
33x46,120,5,-0.25,flex,0,True,True,True,True,True,True,600,547.100000,0.911833,547.100000,89732.100000
33x46,120,5,-0.25,flex,0,True,True,True,True,False,False,600,548.000000,0.913333,352.900000,79982.400000
33x46,120,5,-0.25,flex,0,True,True,True,False,True,False,600,549.600000,0.916000,356.500000,295448.200000
33x46,120,5,-0.25,flex,0,True,True,True,True,True,False,600,548.000000,0.913333,353.700000,73005.700000
33x46,150,10,0,edf,0,True,True,True,False,False,False,1500,1469.100000,0.979400,952.100000,27015.900000
33x46,150,10,0.1,edf,0,True,True,True,False,False,False,1500,1482.700000,0.988467,908.300000,26101.000000
33x46,150,10,0.25,edf,0,True,True,True,False,False,False,1500,1476.900000,0.984600,829.700000,22893.000000
33x46,150,10,-0.1,edf,0,True,True,True,False,False,False,1500,1455.300000,0.970200,976.100000,31225.200000
33x46,150,10,-0.25,edf,0,True,True,True,False,False,False,1500,1408.700000,0.939133,1044.100000,27308.900000
33x46,150,10,0,flex,0,True,True,True,False,False,False,1500,1471.400000,0.980933,967.900000,5912585.900000
33x46,150,10,0,flex,0,True,True,True,False,True,True,1500,1491.600000,0.994400,1491.600000,3955941.200000
33x46,150,10,0,flex,0,True,True,True,True,True,True,1500,1492.200000,0.994800,1492.200000,562032.600000
33x46,150,10,0,flex,0,True,True,True,True,False,False,1500,1456.900000,0.971267,967.300000,834562.400000
33x46,150,10,0,flex,0,True,True,True,False,True,False,1500,1471.400000,0.980933,967.900000,4230090.500000
33x46,150,10,0,flex,0,True,True,True,True,True,False,1500,1457.700000,0.971800,966.500000,656333.100000
33x46,150,10,0.1,flex,0,True,True,True,False,False,False,1500,1481.300000,0.987533,928.200000,5330184.600000
33x46,150,10,0.1,flex,0,True,True,True,False,True,True,1500,1498.000000,0.998667,1498.000000,3531745.000000
