size,agent,task_per_agent,phi,scheduler,bound,sort,mlabel,task_num,task_success,time_ms
21x35,10,10,0,edf,True,False,True,100,99,75
21x35,10,10,0,edf,True,True,True,100,99,84
21x35,10,10,0,edf,False,False,True,100,99,79
21x35,10,10,0.1,edf,True,False,True,100,99,79
21x35,10,10,0.1,edf,True,True,True,100,99,85
21x35,10,10,0.1,edf,False,False,True,100,99,65
21x35,10,10,0.25,edf,True,False,True,100,100,88
21x35,10,10,0.25,edf,True,True,True,100,100,87
21x35,10,10,0.25,edf,False,False,True,100,100,93
21x35,10,10,-0.1,edf,True,False,True,100,96,90
21x35,10,10,-0.1,edf,True,True,True,100,96,76
21x35,10,10,-0.1,edf,False,False,True,100,96,80
21x35,10,10,-0.25,edf,True,False,True,100,89,64
21x35,10,10,-0.25,edf,True,True,True,100,89,67
21x35,10,10,-0.25,edf,False,False,True,100,89,76
21x35,10,10,0,flex,True,False,True,100,99,1637
21x35,10,10,0,flex,True,True,True,100,99,1010
21x35,10,10,0,flex,False,False,True,100,99,7577
21x35,10,10,0.1,flex,True,False,True,100,100,1842
21x35,10,10,0.1,flex,True,True,True,100,100,1150
21x35,10,10,0.1,flex,False,False,True,100,100,8412
21x35,10,10,0.25,flex,True,False,True,100,100,2017
21x35,10,10,0.25,flex,True,True,True,100,100,1341
21x35,10,10,0.25,flex,False,False,True,100,100,9469
21x35,10,10,-0.1,flex,True,False,True,100,96,1016
21x35,10,10,-0.1,flex,True,True,True,100,96,871
21x35,10,10,-0.1,flex,False,False,True,100,96,6218
21x35,10,10,-0.25,flex,True,False,True,100,85,695
21x35,10,10,-0.25,flex,True,True,True,100,85,611
21x35,10,10,-0.25,flex,False,False,True,100,85,4801
21x35,10,2,0,edf,True,False,True,20,20,14
21x35,10,2,0,edf,True,True,True,20,20,11
21x35,10,2,0,edf,False,False,True,20,20,15
21x35,10,2,0.1,edf,True,False,True,20,20,17
21x35,10,2,0.1,edf,True,True,True,20,20,10
21x35,10,2,0.1,edf,False,False,True,20,20,10
