size,agent,agent_per_task,phi,scheduler,bound,sort,mlabel,task_num,task_success,time_ms
21x35,10,10,edf,0,True,False,True,100,98,73
21x35,10,10,edf,0,True,True,True,100,98,91
21x35,10,10,edf,0,False,False,True,100,98,123
21x35,10,10,edf,0.1,True,False,True,100,99,80
21x35,10,10,edf,0.1,True,True,True,100,99,55
21x35,10,10,edf,0.1,False,False,True,100,99,147
21x35,10,10,edf,0.25,True,False,True,100,100,67
21x35,10,10,edf,0.25,True,True,True,100,100,52
21x35,10,10,edf,0.25,False,False,True,100,100,149
21x35,10,10,flex,0,True,False,True,100,97,780
21x35,10,10,flex,0,True,True,True,100,97,710
21x35,10,10,flex,0,False,False,True,100,97,5500
21x35,10,10,flex,0.1,True,False,True,100,99,771
21x35,10,10,flex,0.1,True,True,True,100,99,780
21x35,10,10,flex,0.1,False,False,True,100,99,5719
21x35,10,10,flex,0.25,True,False,True,100,100,780
21x35,10,10,flex,0.25,True,True,True,100,100,729
21x35,10,10,flex,0.25,False,False,True,100,100,5808
21x35,10,2,edf,0,True,False,True,20,19,16
21x35,10,2,edf,0,True,True,True,20,19,12
21x35,10,2,edf,0,False,False,True,20,19,35
21x35,10,2,edf,0.1,True,False,True,20,20,14
21x35,10,2,edf,0.1,True,True,True,20,20,7
21x35,10,2,edf,0.1,False,False,True,20,20,38
21x35,10,2,edf,0.25,True,False,True,20,20,16
21x35,10,2,edf,0.25,True,True,True,20,20,11
21x35,10,2,edf,0.25,False,False,True,20,20,22
21x35,10,2,flex,0,True,False,True,20,19,61
21x35,10,2,flex,0,True,True,True,20,19,62
21x35,10,2,flex,0,False,False,True,20,19,204
21x35,10,2,flex,0.1,True,False,True,20,20,66
21x35,10,2,flex,0.1,True,True,True,20,20,49
21x35,10,2,flex,0.1,False,False,True,20,20,217
21x35,10,2,flex,0.25,True,False,True,20,20,71
21x35,10,2,flex,0.25,True,True,True,20,20,61
21x35,10,2,flex,0.25,False,False,True,20,20,188
21x35,10,5,edf,0,True,False,True,50,49,53
21x35,10,5,edf,0,True,True,True,50,49,35
21x35,10,5,edf,0,False,False,True,50,49,91
21x35,10,5,edf,0.1,True,False,True,50,50,34
21x35,10,5,edf,0.1,True,True,True,50,50,25
21x35,10,5,edf,0.1,False,False,True,50,50,82
21x35,10,5,edf,0.25,True,False,True,50,50,26
21x35,10,5,edf,0.25,True,True,True,50,50,36
21x35,10,5,edf,0.25,False,False,True,50,50,57
21x35,10,5,flex,0,True,False,True,50,48,269
21x35,10,5,flex,0,True,True,True,50,48,181
21x35,10,5,flex,0,False,False,True,50,48,1262
21x35,10,5,flex,0.1,True,False,True,50,49,242
21x35,10,5,flex,0.1,True,True,True,50,49,196
21x35,10,5,flex,0.1,False,False,True,50,49,1231
21x35,10,5,flex,0.25,True,False,True,50,50,258
21x35,10,5,flex,0.25,True,True,True,50,50,261
21x35,10,5,flex,0.25,False,False,True,50,50,1418
21x35,20,10,edf,0,True,False,True,200,199,233
21x35,20,10,edf,0,True,True,True,200,199,279
21x35,20,10,edf,0,False,False,True,200,199,648
21x35,20,10,edf,0.1,True,False,True,200,200,233
21x35,20,10,edf,0.1,True,True,True,200,200,222
21x35,20,10,edf,0.1,False,False,True,200,200,674
21x35,20,10,edf,0.25,True,False,True,200,200,240
21x35,20,10,edf,0.25,True,True,True,200,200,244
21x35,20,10,edf,0.25,False,False,True,200,200,627
21x35,20,10,flex,0,True,False,True,200,197,4317
21x35,20,10,flex,0,True,True,True,200,197,4039
21x35,20,10,flex,0,False,False,True,200,197,65069
21x35,20,10,flex,0.1,True,False,True,200,200,4099
21x35,20,10,flex,0.1,True,True,True,200,200,3948
21x35,20,10,flex,0.1,False,False,True,200,200,62285
21x35,20,10,flex,0.25,True,False,True,200,200,4724
21x35,20,10,flex,0.25,True,True,True,200,200,3584
21x35,20,10,flex,0.25,False,False,True,200,200,63865
21x35,20,2,edf,0,True,False,True,40,39,59
21x35,20,2,edf,0,True,True,True,40,39,60
21x35,20,2,edf,0,False,False,True,40,39,136
21x35,20,2,edf,0.1,True,False,True,40,40,61
21x35,20,2,edf,0.1,True,True,True,40,40,60
21x35,20,2,edf,0.1,False,False,True,40,40,123
21x35,20,2,edf,0.25,True,False,True,40,40,57
21x35,20,2,edf,0.25,True,True,True,40,40,60
21x35,20,2,edf,0.25,False,False,True,40,40,131
21x35,20,2,flex,0,True,False,True,40,37,388
21x35,20,2,flex,0,True,True,True,40,36,264
21x35,20,2,flex,0,False,False,True,40,37,2186
21x35,20,2,flex,0.1,True,False,True,40,40,356
21x35,20,2,flex,0.1,True,True,True,40,39,247
21x35,20,2,flex,0.1,False,False,True,40,40,2410
21x35,20,2,flex,0.25,True,False,True,40,40,333
21x35,20,2,flex,0.25,True,True,True,40,40,243
21x35,20,2,flex,0.25,False,False,True,40,40,2295
21x35,20,5,edf,0,True,False,True,100,95,116
21x35,20,5,edf,0,True,True,True,100,95,162
21x35,20,5,edf,0,False,False,True,100,95,332
21x35,20,5,edf,0.1,True,False,True,100,98,121
21x35,20,5,edf,0.1,True,True,True,100,98,119
21x35,20,5,edf,0.1,False,False,True,100,98,302
21x35,20,5,edf,0.25,True,False,True,100,100,126
21x35,20,5,edf,0.25,True,True,True,100,100,127
21x35,20,5,edf,0.25,False,False,True,100,100,304
