size,agent,task_per_agent,seed,phi,scheduler,window,bound,sort,mlabel,skip,recalc,nearest,ec,retry,task_bound,reserve_all,task_num,task_success,success_rate,reserve,reserve_a,reserve_b,reserve_c,time_ms
21x35,10,10,0,0,flex,0,True,True,True,True,False,False,False,False,True,True,100,83,0.83,83,0,0,0,189
21x35,10,10,0,0,flex,0,True,True,True,True,True,False,False,False,True,True,100,92,0.92,92,0,0,0,275
21x35,10,10,0,0,flex,0,True,True,True,True,True,False,False,True,True,True,100,92,0.92,92,0,0,0,237
21x35,10,10,0,0,flex,0,True,True,True,True,False,False,False,True,True,True,100,83,0.83,83,0,0,0,188
21x35,10,10,0,0,flex,0,True,True,True,True,False,False,False,False,True,False,100,87,0.87,11,0,4,7,120
21x35,10,10,0,0,flex,0,True,True,True,True,True,False,False,False,True,False,100,95,0.95,14,0,9,5,178
21x35,10,10,0,0,flex,0,True,True,True,True,True,False,True,False,True,False,100,95,0.95,20,5,10,5,196
21x35,10,10,0,0,flex,0,True,True,True,True,True,True,False,False,True,False,100,95,0.95,18,5,8,5,178
21x35,10,10,0,0,flex,0,True,True,True,True,True,False,False,True,True,False,100,95,0.95,14,0,9,5,179
21x35,10,10,0,0,flex,0,True,True,True,True,False,False,False,True,True,False,100,87,0.87,11,0,4,7,110
21x35,10,10,0,0,flex,0,False,False,True,False,True,False,False,False,False,False,100,95,0.95,22,8,7,7,6368
21x35,10,10,0,0,flex,0,False,False,True,False,True,False,False,True,False,False,100,96,0.96,15,0,10,5,6540
21x35,10,10,0,0.1,flex,0,True,True,True,True,False,False,False,False,True,True,100,93,0.93,93,0,0,0,237
21x35,10,10,0,0.1,flex,0,True,True,True,True,True,False,False,False,True,True,100,97,0.97,97,0,0,0,273
21x35,10,10,0,0.1,flex,0,True,True,True,True,True,False,False,True,True,True,100,97,0.97,97,0,0,0,270
21x35,10,10,0,0.1,flex,0,True,True,True,True,False,False,False,True,True,True,100,93,0.93,93,0,0,0,216
21x35,10,10,0,0.1,flex,0,True,True,True,True,False,False,False,False,True,False,100,95,0.95,8,0,1,7,113
21x35,10,10,0,0.1,flex,0,True,True,True,True,True,False,False,False,True,False,100,97,0.97,15,0,11,4,178
21x35,10,10,0,0.1,flex,0,True,True,True,True,True,False,True,False,True,False,100,97,0.97,21,5,11,5,195
21x35,10,10,0,0.1,flex,0,True,True,True,True,True,True,False,False,True,False,100,97,0.97,17,2,11,4,175
21x35,10,10,0,0.1,flex,0,True,True,True,True,True,False,False,True,True,False,100,97,0.97,15,0,11,4,177
21x35,10,10,0,0.1,flex,0,True,True,True,True,False,False,False,True,True,False,100,95,0.95,8,0,1,7,112
21x35,10,10,0,0.1,flex,0,False,False,True,False,True,False,False,False,False,False,100,99,0.99,26,6,14,6,8156
21x35,10,10,0,0.1,flex,0,False,False,True,False,True,False,False,True,False,False,100,99,0.99,16,0,11,5,7765
21x35,10,10,0,0.25,flex,0,True,True,True,True,False,False,False,False,True,True,100,99,0.99,99,0,0,0,209
21x35,10,10,0,0.25,flex,0,True,True,True,True,True,False,False,False,True,True,100,100,1.0,100,0,0,0,356
21x35,10,10,0,0.25,flex,0,True,True,True,True,True,False,False,True,True,True,100,100,1.0,100,0,0,0,375
21x35,10,10,0,0.25,flex,0,True,True,True,True,False,False,False,True,True,True,100,99,0.99,99,0,0,0,209
21x35,10,10,0,0.25,flex,0,True,True,True,True,False,False,False,False,True,False,100,99,0.99,11,0,3,8,115
21x35,10,10,0,0.25,flex,0,True,True,True,True,True,False,False,False,True,False,100,100,1.0,19,0,12,7,298
21x35,10,10,0,0.25,flex,0,True,True,True,True,True,False,True,False,True,False,100,100,1.0,25,6,12,7,322
21x35,10,10,0,0.25,flex,0,True,True,True,True,True,True,False,False,True,False,100,99,0.99,23,4,13,6,307
21x35,10,10,0,0.25,flex,0,True,True,True,True,True,False,False,True,True,False,100,100,1.0,19,0,12,7,298
21x35,10,10,0,0.25,flex,0,True,True,True,True,False,False,False,True,True,False,100,99,0.99,11,0,3,8,115
21x35,10,10,0,0.25,flex,0,False,False,True,False,True,False,False,False,False,False,100,100,1.0,22,4,11,7,8481
21x35,10,10,0,0.25,flex,0,False,False,True,False,True,False,False,True,False,False,100,100,1.0,20,0,13,7,8315
21x35,10,10,1,0,flex,0,True,True,True,True,False,False,False,False,True,True,100,82,0.82,82,0,0,0,203
21x35,10,10,1,0,flex,0,True,True,True,True,True,False,False,False,True,True,100,93,0.93,93,0,0,0,334
21x35,10,10,1,0,flex,0,True,True,True,True,True,False,False,True,True,True,100,93,0.93,93,0,0,0,336
21x35,10,10,1,0,flex,0,True,True,True,True,False,False,False,True,True,True,100,82,0.82,82,0,0,0,202
21x35,10,10,1,0,flex,0,True,True,True,True,False,False,False,False,True,False,100,85,0.85,8,0,3,5,121
21x35,10,10,1,0,flex,0,True,True,True,True,True,False,False,False,True,False,100,93,0.93,15,0,8,7,240
21x35,10,10,1,0,flex,0,True,True,True,True,True,False,True,False,True,False,100,93,0.93,32,13,15,4,273
21x35,10,10,1,0,flex,0,True,True,True,True,True,True,False,False,True,False,100,92,0.92,28,11,10,7,228
21x35,10,10,1,0,flex,0,True,True,True,True,True,False,False,True,True,False,100,93,0.93,15,0,8,7,217
21x35,10,10,1,0,flex,0,True,True,True,True,False,False,False,True,True,False,100,85,0.85,8,0,3,5,118
21x35,10,10,1,0,flex,0,False,False,True,False,True,False,False,False,False,False,100,93,0.93,26,17,4,5,6444
21x35,10,10,1,0,flex,0,False,False,True,False,True,False,False,True,False,False,100,95,0.95,20,0,14,6,7056
21x35,10,10,1,0.1,flex,0,True,True,True,True,False,False,False,False,True,True,100,91,0.91,91,0,0,0,245
21x35,10,10,1,0.1,flex,0,True,True,True,True,True,False,False,False,True,True,100,95,0.95,95,0,0,0,372
21x35,10,10,1,0.1,flex,0,True,True,True,True,True,False,False,True,True,True,100,95,0.95,95,0,0,0,358
